Departamento;Nombre Departamento;Municipio;Nombre Municipio;T2018;T2019;T2020;C2018;C2019;C2020;CP_Resto2018;CP_Resto2019;CP_Resto2020;Latitud;Longitud
5;Antioquia;5001;Medellín;2427129;2483545;2533424;2382399;2439470;2490164;44730;44075;43260;-74.88681663;5.610109776
5;Antioquia;5002;Abejorral;20367;20258;20287;7674;7777;7910;12693;12481;12377;-75.4287381;5.789304485
5;Antioquia;5004;Abriaquí;2695;2710;2735;824;833;847;1871;1877;1888;-76.06470346;6.631806452
5;Antioquia;5021;Alejandría;4657;4669;4698;2485;2564;2637;2172;2105;2061;-75.1413329;6.376065676
5;Antioquia;5030;Amagá;30227;30777;31283;14184;14732;15246;16043;16045;16037;-75.70194607;6.038808575
5;Antioquia;5031;Amalfi;25962;26552;27071;14508;15071;15599;11454;11481;11472;-75.08252428;6.912304726
5;Antioquia;5034;Andes;43269;43713;44199;20250;20851;21456;23019;22862;22743;-75.87879189;5.656774852
5;Antioquia;5036;Angelópolis;5756;5790;5841;2168;2252;2331;3588;3538;3510;-75.71135114;6.109614368
5;Antioquia;5038;Angostura;11437;11462;11536;2628;2634;2658;8809;8828;8878;-75.33511597;6.885174591
5;Antioquia;5040;Anorí;18321;18737;19104;7634;8003;8335;10687;10734;10769;-75.14834842;7.074707669
5;Antioquia;5042;Santa Fé de Antioquia;26164;26598;27002;16351;16985;17580;9813;9613;9422;-75.82707907;6.556533296
5;Antioquia;5044;Anzá;7010;7085;7169;1258;1294;1330;5752;5791;5839;-75.85444158;6.302658359
5;Antioquia;5045;Apartadó;121003;124647;127744;98454;102946;107271;22549;21701;20473;-76.62596065;7.883417406
5;Antioquia;5051;Arboletes;29295;29942;30510;9747;10110;10450;19548;19832;20060;-76.4270568;8.850567734
5;Antioquia;5055;Argelia;7689;7577;7545;3412;3473;3545;4277;4104;4000;-75.14174146;5.730671879
5;Antioquia;5059;Armenia;5139;5085;5074;1716;1738;1771;3423;3347;3303;-75.78683783;6.155818729
5;Antioquia;5079;Barbosa;51969;53242;54347;22174;23078;23921;29795;30164;30426;-75.33164423;6.439226882
5;Antioquia;5086;Belmira;6000;6054;6116;1623;1654;1689;4377;4400;4427;-75.66737413;6.606159502
5;Antioquia;5088;Bello;522264;538527;552154;495483;516826;536427;26781;21701;15727;-75.55466507;6.334068836
5;Antioquia;5091;Betania;10323;10274;10284;3601;3638;3697;6722;6636;6587;-75.97554408;5.74474718
5;Antioquia;5093;Betulia;15607;15736;15896;4274;4396;4522;11333;11340;11374;-75.98451587;6.115255594
5;Antioquia;5101;Ciudad Bolívar;26118;26160;26313;15604;15915;16283;10514;10245;10030;-76.02150921;5.850273232
5;Antioquia;5107;Briceño;8039;8065;8120;2552;2663;2765;5487;5402;5355;-75.54813022;7.114882947
5;Antioquia;5113;Buriticá;9354;9502;9634;2235;2306;2370;7119;7196;7264;-75.90753473;6.719735175
5;Antioquia;5120;Cáceres;28996;29716;30356;5355;5563;5758;23641;24153;24598;-75.35235749;7.578315451
5;Antioquia;5125;Caicedo;8297;8420;8536;1657;1710;1761;6640;6710;6775;-75.98281889;6.405567003
5;Antioquia;5129;Caldas;79638;81658;83423;62987;65271;67400;16651;16387;16023;-75.63361872;6.091296966
5;Antioquia;5134;Campamento;9203;9202;9243;2466;2562;2651;6737;6640;6592;-75.29808843;6.979777682
5;Antioquia;5138;Cañasgordas;15523;15490;15552;5076;5165;5274;10447;10325;10278;-76.03220994;6.759477684
5;Antioquia;5142;Caracolí;4582;4537;4532;2739;2756;2794;1843;1781;1738;-74.75744944;6.409854727
5;Antioquia;5145;Caramanta;4743;4670;4648;2190;2185;2204;2553;2485;2444;-75.64386845;5.548530404
5;Antioquia;5147;Carepa;47932;49659;51143;33009;35217;37144;14923;14442;13999;-76.65321034;7.755116346
5;Antioquia;5148;El Carmen de Viboral;59416;61122;62581;34187;35769;37196;25229;25353;25385;-75.33536246;6.084551516
5;Antioquia;5150;Carolina;3954;3954;3972;2929;2971;3026;1025;983;946;-75.28317011;6.725977146
5;Antioquia;5154;Caucasia;90213;93044;95427;76772;80886;84654;13441;12158;10773;-75.19829033;7.977362333
5;Antioquia;5172;Chigorodó;57375;58684;59836;47046;48871;50581;10329;9813;9255;-76.6812164;7.666300439
5;Antioquia;5190;Cisneros;9775;9844;9936;8415;8571;8755;1360;1273;1181;-75.08720761;6.537761957
5;Antioquia;5197;Cocorná;15444;15042;14833;6293;6502;6694;9151;8540;8139;-75.18548101;6.058306335
5;Antioquia;5206;Concepción;4797;4760;4758;1908;1975;2038;2889;2785;2720;-75.2576027;6.394347095
5;Antioquia;5209;Concordia;21377;21504;21688;7349;7492;7662;14028;14012;14026;-75.90750472;6.046568573
5;Antioquia;5212;Copacabana;77884;80000;81820;62343;64739;66981;15541;15261;14839;-75.5093439;6.348640545
5;Antioquia;5234;Dabeiba;23044;23255;23509;9042;9194;9380;14002;14061;14129;-76.26297665;7.00032194
5;Antioquia;5237;Donmatías;18902;19332;19709;12081;12550;12989;6821;6782;6720;-75.39272406;6.484469957
5;Antioquia;5240;Ebéjico;12158;12108;12134;2229;2270;2319;9929;9838;9815;-75.76622047;6.326056658
5;Antioquia;5250;El Bagre;51862;52925;53846;32823;33949;34991;19039;18976;18855;-74.79909729;7.597521794
5;Antioquia;5264;Entrerríos;11159;11465;11728;5643;5907;6146;5516;5558;5582;-75.5178008;6.566481448
5;Antioquia;5266;Envigado;228848;236114;242197;215766;225374;234143;13082;10740;8054;-75.58301014;6.167004552
5;Antioquia;5282;Fredonia;24408;24553;24754;8031;8131;8279;16377;16422;16475;-75.6705064;5.924368006
5;Antioquia;5284;Frontino;20739;20657;20700;8639;8817;9020;12100;11840;11680;-76.13076514;6.776065912
5;Antioquia;5306;Giraldo;5544;5652;5750;2061;2141;2216;3483;3511;3534;-75.95215756;6.680808016
5;Antioquia;5308;Girardota;51662;53162;54439;28652;29845;30958;23010;23317;23481;-75.44446221;6.379613834
5;Antioquia;5310;Gómez Plata;9753;9828;9921;5017;5167;5318;4736;4661;4603;-75.2200382;6.683287586
5;Antioquia;5313;Granada;10117;9870;9764;5541;5447;5399;4576;4423;4365;-75.18444508;6.142896667
5;Antioquia;5315;Guadalupe;6560;6607;6665;2223;2295;2362;4337;4312;4303;-75.24001859;6.814263455
5;Antioquia;5318;Guarne;55121;56774;58159;18342;19066;19745;36779;37708;38414;-75.44165392;6.278064077
5;Antioquia;5321;Guatapé;8363;8548;8709;5420;5608;5782;2943;2940;2927;-75.16229259;6.232592707
5;Antioquia;5347;Heliconia;5451;5400;5395;2318;2362;2415;3133;3038;2980;-75.73432238;6.206757461
5;Antioquia;5353;Hispania;5469;5530;5591;3416;3527;3635;2053;2003;1956;-75.90658827;5.799461575
5;Antioquia;5360;Itagüí;276744;283794;289994;247918;257026;265527;28826;26768;24467;-75.61435871;6.169597629
5;Antioquia;5361;Ituango;27074;27419;27789;7074;7264;7459;20000;20155;20330;-75.76467317;7.17162903
5;Antioquia;5364;Jardín;14518;14662;14830;7659;7851;8053;6859;6811;6777;-75.81898092;5.597541741
5;Antioquia;5368;Jericó;13640;13637;13706;7619;7766;7937;6021;5871;5769;-75.78549855;5.789747931
5;Antioquia;5376;La Ceja;64889;66746;68325;54820;57342;59630;10069;9404;8695;-75.42943089;6.028055744
5;Antioquia;5380;La Estrella;71545;73696;75517;60997;63364;65582;10548;10332;9935;-75.64519038;6.15841974
5;Antioquia;5390;La Pintada;8114;8298;8460;7060;7343;7611;1054;955;849;-75.60781026;5.743807479
5;Antioquia;5400;La Unión;21475;21963;22391;12724;13326;13870;8751;8637;8521;-75.3608659;5.973868218
5;Antioquia;5411;Liborina;10028;10040;10090;2296;2316;2348;7732;7724;7742;-75.81283227;6.677323053
5;Antioquia;5425;Maceo;8221;8218;8248;3093;3147;3211;5128;5071;5037;-74.78716148;6.552116913
5;Antioquia;5440;Marinilla;64645;66399;67893;44230;46348;48258;20415;20051;19635;-75.33947788;6.172269255
5;Antioquia;5467;Montebello;6680;6635;6641;1866;1911;1960;4814;4724;4681;-75.52351091;5.946325567
5;Antioquia;5475;Murindó;4911;5088;5234;1760;1813;1860;3151;3275;3374;-76.81745806;6.977691853
5;Antioquia;5480;Mutatá;13991;14196;14389;5091;5317;5525;8900;8879;8864;-76.4358754;7.242875057
5;Antioquia;5483;Nariño;10153;9997;9947;3116;3149;3195;7037;6848;6752;-75.17626132;5.610774585
5;Antioquia;5490;Necoclí;42281;43257;44118;10955;11420;11861;31326;31837;32257;-76.7845745;8.426135983
5;Antioquia;5495;Nechí;25790;26652;27354;13174;13811;14388;12616;12841;12966;-74.77647012;8.094128661
5;Antioquia;5501;Olaya;3127;3150;3175;217;223;230;2910;2927;2945;-75.81229873;6.627525738
5;Antioquia;5541;Peñol;21049;21427;21769;11022;11453;11857;10027;9974;9912;-75.24282171;6.219450549
5;Antioquia;5543;Peque;8097;8186;8285;2296;2402;2498;5801;5784;5787;-75.91034556;7.021017918
5;Antioquia;5576;Pueblorrico;8664;8681;8735;4450;4550;4664;4214;4131;4071;-75.84077355;5.791786032
5;Antioquia;5579;Puerto Berrío;39314;40048;40713;32623;33869;35038;6691;6179;5675;-74.40994553;6.48704114
5;Antioquia;5585;Puerto Nare;14380;14384;14440;4381;4550;4708;9999;9834;9732;-74.58301201;6.186024828
5;Antioquia;5591;Puerto Triunfo;18055;18550;18970;2926;3039;3146;15129;15511;15824;-74.64126293;5.871212959
5;Antioquia;5604;Remedios;28415;29061;29629;11632;12173;12663;16783;16888;16966;-74.69594426;7.026094053
5;Antioquia;5607;Retiro;23514;24185;24757;12479;13051;13568;11035;11134;11189;-75.50137516;6.063379954
5;Antioquia;5615;Rionegro;135465;139553;142995;83007;86786;90256;52458;52767;52739;-75.37676938;6.14722409
5;Antioquia;5628;Sabanalarga;9032;9155;9278;2955;3071;3179;6077;6084;6099;-75.81664609;6.85002589
5;Antioquia;5631;Sabaneta;82375;85484;87981;70401;74142;77424;11974;11342;10557;-75.61558529;6.150970181
5;Antioquia;5642;Salgar;18258;18218;18261;6718;6872;7044;11540;11346;11217;-75.98204854;5.96564031
5;Antioquia;5647;San Andrés de Cuerquía;7235;7240;7281;2848;2939;3029;4387;4301;4252;-75.67473253;6.916808512
5;Antioquia;5649;San Carlos;16247;15940;15811;7362;7287;7274;8885;8653;8537;-74.98795256;6.187991569
5;Antioquia;5652;San Francisco;5648;5776;5889;2486;2582;2673;3162;3194;3216;-75.10268697;5.964079131
5;Antioquia;5656;San Jerónimo;15361;15710;16017;6704;6972;7222;8657;8738;8795;-75.72700058;6.448066608
5;Antioquia;5658;San José de La Montaña;3646;3706;3765;2353;2392;2441;1293;1314;1324;-75.68335163;6.850090299
5;Antioquia;5659;San Juan de Urabá;20093;20549;20950;6624;6881;7122;13469;13668;13828;-76.52879434;8.759341801
5;Antioquia;5660;San Luis;12995;13035;13123;7408;7676;7925;5587;5359;5198;-74.993641;6.042983285
5;Antioquia;5664;San Pedro de Los Milagros;21949;22447;22885;11756;12405;12996;10193;10042;9889;-75.55671915;6.460138599
5;Antioquia;5665;San Pedro de Urabá;30932;31571;32147;12494;13179;13832;18438;18392;18315;-76.38057789;8.276886664
5;Antioquia;5667;San Rafael;15698;15632;15663;7891;7946;8033;7807;7686;7630;-75.02798382;6.293754876
5;Antioquia;5670;San Roque;21519;21533;21597;6481;6698;6909;15038;14835;14688;-75.01915757;6.485948936
5;Antioquia;5674;San Vicente Ferrer;22093;22258;22469;5464;5718;5971;16629;16540;16498;-75.33261381;6.282155852
5;Antioquia;5679;Santa Bárbara;26784;26944;27186;12083;12440;12804;14701;14504;14382;-75.56735178;5.875533398
5;Antioquia;5686;Santa Rosa de Osos;36318;37143;37869;19896;20790;21602;16422;16353;16267;-75.46074502;6.643326001
5;Antioquia;5690;Santo Domingo;12394;12326;12324;2808;2811;2830;9586;9515;9494;-75.16778371;6.474843293
5;Antioquia;5697;El Santuario;35422;36043;36605;24614;25604;26525;10808;10439;10080;-75.26584979;6.137046858
5;Antioquia;5736;Segovia;37900;38692;39379;30133;31301;32396;7767;7391;6983;-74.70159107;7.079639679
5;Antioquia;5756;Sonsón;36321;36394;36625;17169;17442;17787;19152;18952;18838;-75.30939515;5.714811641
5;Antioquia;5761;Sopetrán;15053;15293;15512;6522;6713;6901;8531;8580;8611;-75.74725636;6.500985773
5;Antioquia;5789;Támesis;16281;16193;16201;7256;7404;7572;9025;8789;8629;-75.71432069;5.664466636
5;Antioquia;5790;Tarazá;26964;27517;27995;12657;13148;13608;14307;14369;14387;-75.40140596;7.580120815
5;Antioquia;5792;Tarso;6184;6194;6231;3324;3411;3500;2860;2783;2731;-75.82321448;5.863295751
5;Antioquia;5809;Titiribí;10775;10716;10719;4591;4769;4936;6184;5947;5783;-75.79154901;6.060980082
5;Antioquia;5819;Toledo;4993;5005;5043;1700;1741;1779;3293;3264;3264;-75.69144241;7.010154029
5;Antioquia;5837;Turbo;124552;127565;130191;48787;50679;52453;75765;76886;77738;-76.72915844;8.089116411
5;Antioquia;5842;Uramita;6888;6875;6899;2111;2154;2202;4777;4721;4697;-76.17340916;6.898494111
5;Antioquia;5847;Urrao;30127;30484;30876;15918;16418;16917;14209;14066;13959;-76.13394867;6.317319591
5;Antioquia;5854;Valdivia;13801;13950;14102;3637;3778;3910;10164;10172;10192;-75.43919844;7.16534
5;Antioquia;5856;Valparaíso;6498;6462;6472;3639;3705;3784;2859;2757;2688;-75.62445889;5.614550725
5;Antioquia;5858;Vegachí;11810;11910;12039;8055;8323;8571;3755;3587;3468;-74.79872695;6.77344632
5;Antioquia;5861;Venecia;11602;11636;11715;5089;5215;5352;6513;6421;6363;-75.73550324;5.964733583
5;Antioquia;5873;Vigía del Fuerte;9093;9265;9423;3102;3201;3292;5991;6064;6131;-76.89618698;6.588119845
5;Antioquia;5885;Yalí;7608;7630;7681;3587;3649;3723;4021;3981;3958;-74.84004673;6.676567272
5;Antioquia;5887;Yarumal;41542;42116;42678;29049;29942;30827;12493;12174;11851;-75.41883314;6.963872352
5;Antioquia;5890;Yolombó;22538;23050;23501;6768;6930;7104;15770;16120;16397;-75.01335058;6.594592434
5;Antioquia;5893;Yondó;19040;19624;20110;9640;10130;10571;9400;9494;9539;-73.91245795;7.003940734
5;Antioquia;5895;Zaragoza;24651;25210;25703;11173;11606;12012;13478;13604;13691;-74.86707471;7.488583075
8;Atlántico;8001;Barranquilla;1206319;1243056;1274250;1205284;1242237;1273646;1035;819;604;-74.79525905;10.97592682
8;Atlántico;8078;Baranoa;62382;64949;67050;51730;53911;55697;10652;11038;11353;-74.91609981;10.79488048
8;Atlántico;8137;Campo de La Cruz;22879;23230;23567;19961;20134;20311;2918;3096;3256;-74.88315173;10.37924013
8;Atlántico;8141;Candelaria;15982;16648;17195;11461;11936;12325;4521;4712;4870;-74.8799126;10.46121723
8;Atlántico;8296;Galapa;60708;64260;67021;56167;59530;62159;4541;4730;4862;-74.8669381;10.919641
8;Atlántico;8372;Juan de Acosta;20999;21971;22752;13095;13742;14260;7904;8229;8492;-75.04079914;10.83018223
8;Atlántico;8421;Luruaco;28175;29348;30314;14251;14846;15333;13924;14502;14981;-75.14224614;10.61111642
8;Atlántico;8433;Malambo;128203;134468;139566;119878;125521;130135;8325;8947;9431;-74.77424057;10.85628724
8;Atlántico;8436;Manatí;19808;20698;21442;17499;18223;18815;2309;2475;2627;-74.95703499;10.44896238
8;Atlántico;8520;Palmar de Varela;28932;30094;31038;27728;28861;29786;1204;1233;1252;-74.75475789;10.73858326
8;Atlántico;8549;Piojó;6608;6873;7089;2812;2928;3022;3796;3945;4067;-75.10747012;10.74934442
8;Atlántico;8558;Polonuevo;18197;18941;19545;15111;15736;16247;3086;3205;3298;-74.85425725;10.77772451
8;Atlántico;8560;Ponedera;23848;24877;25728;13652;14217;14679;10196;10660;11049;-74.75390044;10.64179593
8;Atlántico;8573;Puerto Colombia;49264;51695;53649;42803;45119;46952;6461;6576;6697;-74.85196357;11.02294005
8;Atlántico;8606;Repelón;26200;27249;28102;17608;18307;18882;8592;8942;9220;-75.12548162;10.49334167
8;Atlántico;8634;Sabanagrande;32334;33858;35084;30739;32229;33437;1595;1629;1647;-74.75850721;10.79107595
8;Atlántico;8638;Sabanalarga;93261;97005;100049;69230;72224;74713;24031;24781;25336;-74.92109368;10.63283523
8;Atlántico;8675;Santa Lucía;16023;16624;17104;13676;14209;14638;2347;2415;2466;-74.95897145;10.32327321
8;Atlántico;8685;Santo Tomás;29829;31027;32000;28095;29258;30211;1734;1769;1789;-74.75411186;10.75605629
8;Atlántico;8758;Soledad;603999;638065;665021;602644;636953;664141;1355;1112;880;-74.78483338;10.91017447
8;Atlántico;8770;Suan;11940;12282;12572;11239;11518;11752;701;764;820;-74.88168748;10.33543138
8;Atlántico;8832;Tubará;17377;18190;18846;8774;9138;9436;8603;9052;9410;-74.97867947;10.87364774
8;Atlántico;8849;Usiacurí;12250;12743;13144;11394;11865;12251;856;878;893;-74.97698261;10.74297819
11;Bogotá. DC;11001;Bogotá. DC;7412566;7592871;7743955;7387400;7566185;7715778;25166;26686;28177;-74.107359;4.65017303
13;Bolívar;13001;Cartagena de Indias;973045;1003685;1028736;876885;897656;914552;96160;106029;114184;-75.49643103;10.38498552
13;Bolívar;13006;Achí;24352;24610;24900;5648;5728;5779;18704;18882;19121;-74.55706395;8.569110393
13;Bolívar;13030;Altos del Rosario;10972;11309;11585;4001;4097;4174;6971;7212;7411;-74.16504945;8.791606399
13;Bolívar;13042;Arenal;7365;7590;7775;4496;4611;4704;2869;2979;3071;-73.94111583;8.458630438
